t,z(t),v(t),F(t) (added)
5.739995,0.8509479,0.5338287,-85.0948
5.759995,0.8612841,0.5168097,-86.12841
5.779995,0.8712758,0.499584,-87.12759
5.799995,0.880919,0.4821585,-88.0919
5.819995,0.8902099,0.4645401,-89.02099
5.839995,0.8991446,0.4467359,-89.91446
5.859995,0.9077197,0.428753,-90.77197
5.879995,0.9159316,0.4105986,-91.59316
5.899995,0.9237772,0.39228,-92.37772
5.919995,0.9312533,0.3738045,-93.12533
5.939995,0.9383569,0.3551794,-93.83569
5.959995,0.9450851,0.3364123,-94.50851
5.979995,0.9514353,0.3175106,-95.14353
5.999995,0.957405,0.2984819,-95.74049
6.019995,0.9629917,0.2793338,-96.29916
6.039995,0.9681931,0.2600739,-96.81931
6.059995,0.9730073,0.2407101,-97.30074
6.079995,0.9774323,0.2212499,-97.74323
6.099995,0.9814664,0.2017013,-98.14664
6.119995,0.9851078,0.182072,-98.51078
6.139995,0.9883552,0.1623698,-98.83552
6.159995,0.9912072,0.1426027,-99.12073
6.179995,0.9936628,0.1227785,-99.36629
6.199995,0.9957209,0.1029053,-99.57209
6.219995,0.9973807,0.08299088,-99.73808
6.239995,0.9986416,0.06304327,-99.86416
6.259995,0.999503,0.04307043,-99.9503
6.279995,0.9999646,0.02308037,-99.99646
6.299995,1.000026,0.003081075,-100.0026
6.319995,0.9996879,-0.01691945,-99.96879
6.339995,0.9989496,-0.03691321,-99.89496
6.359995,0.9978117,-0.05689221,-99.78117
6.379995,0.9962748,-0.07684844,-99.62748
6.399995,0.9943393,-0.09677394,-99.43393
6.419995,0.9920061,-0.1166607,-99.20061
6.439995,0.9892761,-0.1365008,-98.9276
6.459995,0.9861503,-0.1562864,-98.61504
6.479995,0.9826301,-0.1760094,-98.26302
6.499995,0.9787169,-0.195662,-97.87169
6.519995,0.9744122,-0.2152363,-97.44122
6.539995,0.9697177,-0.2347246,-96.97177
6.559995,0.9646354,-0.2541189,-96.46354
6.579995,0.9591671,-0.2734116,-95.91671
6.599995,0.9533152,-0.292595,-95.33152
6.619995,0.947082,-0.3116613,-94.7082
6.639995,0.9404699,-0.3306029,-94.04699
6.659995,0.9334817,-0.3494123,-93.34817
6.679995,0.92612,-0.368082,-92.61201
6.699995,0.9183879,-0.3866044,-91.8388
6.719995,0.9102885,-0.4049721,-91.02885
6.739995,0.901825,-0.4231779,-90.1825
6.759995,0.8930007,-0.4412144,-89.30006
6.779994,0.8838192,-0.4590744,-88.38192
6.799994,0.8742841,-0.4767508,-87.42841
6.819994,0.8643994,-0.4942365,-86.43994
6.839994,0.854169,-0.5115244,-85.41689
6.859994,0.8435968,-0.5286078,-84.35968
6.879994,0.8326872,-0.5454798,-83.26872
6.899994,0.8214445,-0.5621335,-82.14445
6.919994,0.8098733,-0.5785624,-80.98733
6.939994,0.7979781,-0.5947598,-79.79781
6.959994,0.7857637,-0.6107194,-78.57637
6.979994,0.773235,-0.6264347,-77.3235
6.999994,0.760397,-0.6418994,-76.0397
7.019994,0.7472548,-0.6571074,-74.72549
7.039994,0.7338138,-0.6720524,-73.38139
7.059994,0.7200792,-0.6867287,-72.00793
7.079994,0.7060567,-0.7011303,-70.60567
7.099994,0.6917516,-0.7152514,-69.17516
7.119994,0.6771699,-0.7290864,-67.71699
7.139994,0.6623173,-0.7426298,-66.23173
7.159994,0.6471997,-0.7558761,-64.71998
7.179994,0.6318234,-0.7688201,-63.18233
7.199994,0.6161942,-0.7814566,-61.61942
7.219994,0.6003187,-0.7937804,-60.03187
7.239994,0.5842029,-0.8057868,-58.4203
7.259994,0.5678535,-0.8174709,-56.78535
7.279994,0.5512769,-0.828828,-55.12769
7.299994,0.5344799,-0.8398535,-53.44799
7.319994,0.517469,-0.8505431,-51.7469
7.339994,0.5002511,-0.8608925,-50.02511
7.359994,0.4828332,-0.8708975,-48.28332
7.379994,0.4652221,-0.8805542,-46.52221
7.399994,0.4474249,-0.8898587,-44.74249
7.419994,0.4294488,-0.8988072,-42.94488
7.439994,0.4113009,-0.9073961,-41.13008
7.459994,0.3929884,-0.9156222,-39.29884
7.479994,0.3745188,-0.9234819,-37.45188
7.499994,0.3558993,-0.9309723,-35.58994
7.519994,0.3371375,-0.9380903,-33.71375
7.539994,0.3182409,-0.9448331,-31.82409
7.559994,0.2992169,-0.9511979,-29.92169
7.579994,0.2800733,-0.9571823,-28.00733
7.599994,0.2608176,-0.9627838,-26.08176
7.619994,0.2414576,-0.9680001,-24.14576
7.639994,0.222001,-0.9728293,-22.2001
7.659994,0.2024556,-0.9772693,-20.24556
7.679994,0.1828292,-0.9813184,-18.28292
7.699994,0.1631297,-0.984975,-16.31297
7.719994,0.143365,-0.9882376,-14.3365
7.739994,0.1235429,-0.9911048,-12.35429
7.759994,0.1036714,-0.9935757,-10.36714
7.779994,0.08375841,-0.9956491,-8.37584
7.799994,0.06381192,-0.9973243,-6.381192
7.819993,0.04383991,-0.9986005,-4.383991
7.839993,0.02385036,-0.9994773,-2.385036
7.859993,0.003851276,-0.9999543,-0.3851276
7.879993,-0.01614935,-1.000031,1.614935
7.899993,-0.03614352,-0.9997084,3.614352
7.919993,-0.05612323,-0.9989855,5.612323
7.939993,-0.07608049,-0.997863,7.608048
7.959993,-0.09600732,-0.9963414,9.600732
7.979993,-0.1158957,-0.9944212,11.58957
7.999993,-0.1357378,-0.9921033,13.57378
8.019994,-0.1555256,-0.9893886,15.55256
8.039994,-0.1752511,-0.9862781,17.52511
8.059995,-0.1949066,-0.982773,19.49066
8.079995,-0.2144841,-0.9788749,21.44841
8.099996,-0.2339758,-0.9745852,23.39758
8.119996,-0.2533739,-0.9699057,25.33739
8.139997,-0.2726707,-0.9648382,27.26707
8.159997,-0.2918584,-0.9593848,29.18584
8.179997,-0.3109293,-0.9535477,31.09293
8.199998,-0.3298759,-0.947329,32.98759
8.219998,-0.3486905,-0.9407315,34.86905
8.239999,-0.3673657,-0.9337577,36.73657
8.259999,-0.3858939,-0.9264104,38.58939
8.28,-0.4042677,-0.9186926,40.42677
8.3,-0.4224799,-0.9106072,42.24799
8.320001,-0.440523,-0.9021576,44.0523
8.340001,-0.45839,-0.8933471,45.839
8.360002,-0.4760736,-0.8841794,47.60736
8.380002,-0.4935667,-0.8746579,49.35667
8.400002,-0.5108625,-0.8647865,51.08625
8.420003,-0.5279539,-0.8545693,52.79539
8.440003,-0.5448341,-0.8440102,54.48341
8.460004,-0.5614964,-0.8331135,56.14964
8.480004,-0.577934,-0.8218836,57.7934
8.500005,-0.5941405,-0.8103249,59.41405
8.520005,-0.6101094,-0.7984421,61.01094
8.540006,-0.6258342,-0.7862399,62.58342
8.560006,-0.6413086,-0.7737232,64.13086
8.580007,-0.6565266,-0.7608971,65.65266
8.600007,-0.6714819,-0.7477666,67.14819
8.620008,-0.6861687,-0.7343369,68.61687
8.640008,-0.700581,-0.7206135,70.0581
8.660008,-0.714713,-0.7066019,71.4713
8.680009,-0.7285591,-0.6923077,72.85591
8.700009,-0.7421139,-0.6777365,74.21139
8.72001,-0.7553717,-0.6628942,75.53718
8.74001,-0.7683275,-0.6477867,76.83275
8.760011,-0.7809759,-0.6324202,78.09759
8.780011,-0.7933119,-0.6168007,79.33119
8.800012,-0.8053306,-0.6009344,80.53306
8.820012,-0.8170272,-0.5848278,81.70271
8.840013,-0.8283969,-0.5684873,82.83969
8.860013,-0.8394353,-0.5519193,83.94353
8.880013,-0.8501379,-0.5351306,85.01379
8.900014,-0.8605005,-0.5181279,86.05005
8.920014,-0.8705188,-0.5009179,87.05188
8.940015,-0.8801889,-0.4835075,88.01889
8.960015,-0.889507,-0.4659037,88.9507
8.980016,-0.8984693,-0.4481136,89.84692
9.000016,-0.9070721,-0.4301442,90.70721
9.020017,-0.9153122,-0.4120027,91.53122
9.040017,-0.9231861,-0.3936965,92.31861
9.060018,-0.9306908,-0.3752328,93.06908
9.080018,-0.9378231,-0.3566189,93.78231
9.100019,-0.9445804,-0.3378625,94.45804
9.120019,-0.9509598,-0.3189709,95.09598
9.140019,-0.9569588,-0.2999517,95.69588
9.16002,-0.9625751,-0.2808125,96.25751
9.18002,-0.9678063,-0.261561,96.78062
9.200021,-0.9726503,-0.2422049,97.26504
9.220021,-0.9771054,-0.2227519,97.71054
9.240022,-0.9811696,-0.2032098,98.11696
9.260022,-0.9848413,-0.1835864,98.48413
9.280023,-0.9881191,-0.1638896,98.8119
9.300023,-0.9910016,-0.1441272,99.10016
9.320024,-0.9934878,-0.1243071,99.34878
9.340024,-0.9955765,-0.1044374,99.55765
9.360024,-0.997267,-0.08452588,99.7267
9.380025,-0.9985586,-0.06458055,99.85587
9.400025,-0.9994508,-0.04460938,99.94508
9.420026,-0.9999432,-0.02462037,99.99432
9.440026,-1.000036,-0.004621516,100.0036
9.460027,-0.9997281,0.01537919,99.97281
9.480027,-0.9990206,0.03537375,99.90206
9.500028,-0.9979135,0.05535416,99.79135
9.520028,-0.9964073,0.07531241,99.64072
9.540029,-0.9945025,0.09524055,99.45025
9.560029,-0.9921999,0.1151306,99.21999
9.580029,-0.9895004,0.1349746,98.95004
9.60003,-0.9864051,0.1547646,98.64051
9.62003,-0.9829153,0.1744927,98.29153
9.640031,-0.9790323,0.194151,97.90323
9.660031,-0.9747577,0.2137316,97.47577
9.680032,-0.9700931,0.2332268,97.00932
9.700032,-0.9650406,0.2526287,96.50406
9.720033,-0.959602,0.2719295,95.9602
9.740033,-0.9537796,0.2911215,95.37796
9.760034,-0.9475756,0.3101971,94.75756
9.780034,-0.9409927,0.3291486,94.09927
9.800035,-0.9340333,0.3479685,93.40333
9.820035,-0.9267003,0.3666491,92.67003
9.840035,-0.9189966,0.3851831,91.89967
9.860036,-0.9109254,0.4035631,91.09254
9.880036,-0.9024898,0.4217816,90.24898
9.900037,-0.8936931,0.4398314,89.36932
9.920037,-0.8845391,0.4577052,88.4539
9.940038,-0.8750312,0.475396,87.50312
9.960038,-0.8651732,0.4928966,86.51732
9.980039,-0.8549692,0.5102001,85.49692
10.00004,-0.8444232,0.5272995,84.44232
10.02004,-0.8335395,0.5441879,83.35395
10.04004,-0.8223223,0.5608587,82.23223
10.06004,-0.8107762,0.5773051,81.07762
10.08004,-0.7989058,0.5935206,79.89059
10.10004,-0.7867159,0.6094987,78.67159
10.12004,-0.7742112,0.6252331,77.42112
10.14004,-0.7613969,0.6407173,76.13969
10.16004,-0.748278,0.6559452,74.8278
10.18004,-0.7348598,0.6709107,73.48598
10.20004,-0.7211476,0.6856079,72.11476
10.22004,-0.707147,0.7000309,70.7147
10.24004,-0.6928635,0.7141738,69.28635
10.26005,-0.6783029,0.728031,67.83029
10.28005,-0.6634709,0.7415971,66.34709
10.30005,-0.6483736,0.7548665,64.83736
10.32005,-0.6330169,0.767834,63.30169
10.34005,-0.6174071,0.7804943,61.74071
10.36005,-0.6015502,0.7928424,60.15502
10.38005,-0.5854527,0.8048735,58.54527
10.40005,-0.5691211,0.8165825,56.91211
10.42005,-0.5525618,0.8279649,55.25618
10.44005,-0.5357814,0.8390161,53.57814
10.46005,-0.5187868,0.8497317,51.87868
10.48005,-0.5015846,0.8601075,50.15847
10.50005,-0.4841819,0.8701392,48.41819
10.52005,-0.4665854,0.8798228,46.65854
10.54005,-0.4488024,0.8891545,44.88023
10.56005,-0.4308397,0.8981305,43.08397
10.58005,-0.4127048,0.9067473,41.27048
10.60005,-0.3944048,0.9150015,39.44048
10.62005,-0.375947,0.9228895,37.5947
10.64005,-0.3573388,0.9304085,35.73388
10.66005,-0.3385877,0.9375553,33.85877
10.68005,-0.3197011,0.944327,31.97011
10.70006,-0.3006867,0.950721,30.06867
10.72006,-0.281552,0.9567348,28.1552
10.74006,-0.2623047,0.9623658,26.23047
10.76006,-0.2429525,0.9676119,24.29524
10.78006,-0.223503,0.9724709,22.3503
10.80006,-0.2039642,0.976941,20.39642
10.82006,-0.1843438,0.9810203,18.43438
10.84006,-0.1646497,0.9847072,16.46497
10.86006,-0.1448897,0.9880002,14.48897
10.88006,-0.1250717,0.990898,12.50717
10.90006,-0.1052037,0.9933994,10.52037
10.92006,-0.08529365,0.9955035,8.529366
10.94006,-0.06534946,0.9972094,6.534946
10.96006,-0.04537913,0.9985164,4.537913
10.98006,-0.02539065,0.999424,2.539065
11.00006,-0.005392017,0.9999318,0.5392017
11.02006,0.01460878,1.00004,-1.460878
11.04006,0.03460373,0.9997475,-3.460373
11.06006,0.05458483,0.9990554,-5.458484
11.08006,0.07454411,0.9979637,-7.454411
11.10006,0.09447356,0.9964728,-9.447356
11.12006,0.1143652,0.9945834,-11.43652
11.14007,0.1342112,0.992296,-13.42111
11.16007,0.1540034,0.9896118,-15.40034
11.18007,0.173734,0.9865317,-17.3734
11.20007,0.1933952,0.9830571,-19.33952
11.22007,0.2129789,0.9791892,-21.29789
11.24007,0.2324775,0.9749296,-23.24775
11.26007,0.2518831,0.9702801,-25.18831
11.28007,0.271188,0.9652424,-27.1188
11.30007,0.2903843,0.9598186,-29.03843
11.32007,0.3094645,0.9540109,-30.94646
11.34007,0.328421,0.9478216,-32.8421
11.36007,0.347246,0.9412532,-34.7246
11.38007,0.3659322,0.9343083,-36.59322
11.40007,0.384472,0.9269897,-38.4472
11.42007,0.402858,0.9193003,-40.2858
11.44007,0.4210829,0.9112431,-42.10828
11.46007,0.4391393,0.9028214,-43.91393
11.48007,0.45702,0.8940386,-45.702
11.50007,0.474718,0.8848982,-47.4718
11.52007,0.4922261,0.8754039,-49.22261
11.54007,0.5095373,0.8655593,-50.95373
11.56007,0.5266446,0.8553686,-52.66446
11.58008,0.5435414,0.8448357,-54.35414
11.60008,0.5602207,0.8339649,-56.02206
11.62008,0.5766759,0.8227605,-57.66759
11.64008,0.5929005,0.811227,-59.29005
11.66008,0.6088879,0.799369,-60.88879
11.68008,0.6246317,0.7871912,-62.46317
11.70008,0.6401257,0.7746986,-64.01257
11.72008,0.6553636,0.761896,-65.53636
11.74008,0.6703394,0.7487887,-67.03394
11.76008,0.685047,0.7353819,-68.5047
11.78008,0.6994807,0.7216809,-69.94807
11.80008,0.7136345,0.7076913,-71.36345
11.82008,0.7275029,0.6934186,-72.75029
11.84008,0.7410803,0.6788686,-74.10803
11.86008,0.7543612,0.664047,-75.43612
11.88008,0.7673404,0.6489598,-76.73404
11.90008,0.7800127,0.6336129,-78.00127
11.92008,0.7923729,0.6180127,-79.2373
11.94008,0.8044162,0.6021652,-80.44163
11.96008,0.8161378,0.5860769,-81.61378
11.98008,0.8275329,0.5697542,-82.75329
